depth,variant,block,stage,position,act_rms,grad_norm,weight_norm,relative
56,resnet,3,stage1,0.11538461538461539,1.852998822927475,0.5706390299949838,7.935521277147676,0.07190945749692362
56,resnet,4,stage1,0.15384615384615385,2.0932062566280365,0.4843067060364844,8.10141370704733,0.05978051776508973
56,resnet,5,stage1,0.19230769230769232,2.3034818172454834,0.4349159502373453,8.041490846072376,0.05408399494103346
56,resnet,6,stage1,0.23076923076923078,2.4851430356502533,0.3962604165967518,7.997432177423896,0.049548456030094626
56,resnet,7,stage1,0.2692307692307692,2.6775249540805817,0.35053773202000804,7.89480945185683,0.044401037689081005
56,resnet,8,stage1,0.3076923076923077,2.797958195209503,0.34267819155627777,7.849326047698374,0.04365702093070269
56,resnet,9,stage2,0.34615384615384615,2.137470841407776,0.46180094280915057,9.856644967340918,0.04685173751710499
56,resnet,10,stage2,0.38461538461538464,2.3191147446632385,0.4430722492555137,11.24375335201364,0.03940608045943698
56,resnet,11,stage2,0.4230769230769231,2.5033046305179596,0.4315071187596331,11.309401788650833,0.03815472531824428
56,resnet,12,stage2,0.46153846153846156,2.6490117609500885,0.4057880992838877,11.312836531380722,0.03586970413284683
56,resnet,13,stage2,0.5,2.794778734445572,0.37673375764180717,11.3391830456852,0.03322406527207111
56,resnet,14,stage2,0.5384615384615384,2.942660927772522,0.3670167269417096,11.350652102924355,0.03233441775976486
56,resnet,15,stage2,0.5769230769230769,3.1027364432811737,0.3764840399482121,11.193639849914755,0.03363374603758394
56,resnet,16,stage2,0.6153846153846154,3.2526576220989227,0.3381275171106909,11.372250738223606,0.029732682201088
56,resnet,17,stage2,0.6538461538461539,3.3715627789497375,0.364278675597656,11.310037250002122,0.03220844171822579
56,resnet,18,stage3,0.6923076923076923,2.548198640346527,0.4059347591449379,13.815449119333634,0.029382668318532194
56,resnet,19,stage3,0.7307692307692307,2.6975844502449036,0.42231921503800396,15.970663833149967,0.02644343525416927
56,resnet,20,stage3,0.7692307692307693,2.843130201101303,0.4098478195844488,15.978777877805978,0.025649509788462272
56,resnet,21,stage3,0.8076923076923077,2.995983809232712,0.41487705824518184,16.012401066518382,0.025909734369112303
56,resnet,22,stage3,0.8461538461538461,3.1286705434322357,0.40938630270920306,16.06648127869668,0.025480769286553615
56,resnet,23,stage3,0.8846153846153846,3.2627320289611816,0.39041392661759255,15.98789329253838,0.024419347782349814
56,resnet,24,stage3,0.9230769230769231,3.3883537352085114,0.39707069845956205,15.974631702553475,0.024856328825164215
56,resnet,25,stage3,0.9615384615384616,3.519370436668396,0.38041777655259834,16.037861849240144,0.023719980888264235
56,resnet,26,stage3,1.0,3.648562431335449,0.3692617916014732,15.998851019612436,0.023080519416601105
56,plain,0,stage1,0.0,0.6964715272188187,378.453730347562,7.817213299907142,48.41286988447117
56,plain,1,stage1,0.038461538461538464,0.686767153441906,240.72966552800307,7.912873641076518,30.42253376552752
56,plain,2,stage1,0.07692307692307693,0.6936270073056221,169.5946228365189,8.012657880492243,21.16583852274748
56,plain,3,stage1,0.11538461538461539,0.6838042885065079,119.3561152919535,7.935521277147676,15.040740377783294
56,plain,4,stage1,0.15384615384615385,0.6963509246706963,83.39387755629883,8.10141370704733,10.293743854082582
56,plain,5,stage1,0.19230769230769232,0.7183845937252045,58.67452489904649,8.041490846072376,7.296473504997434
56,plain,6,stage1,0.23076923076923078,0.7189819887280464,40.45097457549501,7.997432177423896,5.057995326260452
56,plain,7,stage1,0.2692307692307692,0.7502360418438911,29.872853495245305,7.89480945185683,3.7838599750142574
56,plain,8,stage1,0.3076923076923077,0.6840218082070351,22.342549380602428,7.849326047698374,2.846429011208401
56,plain,9,stage2,0.34615384615384615,0.7018579915165901,19.353322138337987,9.856644967340918,1.963479683245509
56,plain,10,stage2,0.38461538461538464,0.7038243487477303,14.12394948646782,11.24375335201364,1.256159668776296
56,plain,11,stage2,0.4230769230769231,0.7263962849974632,9.779983430785855,11.309401788650833,0.8647657598123559
56,plain,12,stage2,0.46153846153846156,0.7037899792194366,7.044132281064728,11.312836531380722,0.6226672030065123
56,plain,13,stage2,0.5,0.6895939409732819,4.998801023299713,11.3391830456852,0.44084313686089255
56,plain,14,stage2,0.5384615384615384,0.7017189040780067,3.5424161726516354,11.350652102924355,0.3120892210007014
56,plain,15,stage2,0.5769230769230769,0.7065118551254272,2.4820490973204064,11.193639849914755,0.22173744470966775
56,plain,16,stage2,0.6153846153846154,0.7098161727190018,1.7541787150748873,11.372250738223606,0.15425079480343024
56,plain,17,stage2,0.6538461538461539,0.7067163065075874,1.2703582080317655,11.310037250002122,0.11232131070404097
56,plain,18,stage3,0.6923076923076923,0.714752160012722,1.2595463145557404,13.815449119333634,0.09116940778950895
56,plain,19,stage3,0.7307692307692307,0.6959931254386902,0.9573639781134916,15.970663833149967,0.059945158705695854
56,plain,20,stage3,0.7692307692307693,0.7150520458817482,0.6649159482708409,15.978777877805978,0.04161244078587439
56,plain,21,stage3,0.8076923076923077,0.708514004945755,0.4850554032926338,16.012401066518382,0.030292484011462537
56,plain,22,stage3,0.8461538461538461,0.7089924067258835,0.3584880918531701,16.06648127869668,0.0223127942973118
56,plain,23,stage3,0.8846153846153846,0.6966541111469269,0.2687856673120712,15.98789329253838,0.016811825197602152
56,plain,24,stage3,0.9230769230769231,0.70306546241045,0.20802093790462972,15.974631702553475,0.013021955171046509
56,plain,25,stage3,0.9615384615384616,0.7099308297038078,0.2056653974779857,16.037861849240144,0.012823741681484174
56,plain,26,stage3,1.0,0.7146743014454842,0.3523195008593699,15.998851019612436,0.02202155019929079
